iter	Passed	Remaining
0	72	72267
1	83	41866
2	95	31848
3	107	26819
4	110	21970
5	122	20288
6	133	18926
7	144	17915
8	155	17113
9	166	16443
10	176	15893
11	186	15392
12	197	15004
13	208	14703
14	219	14418
15	230	14182
16	241	13960
17	251	13741
18	262	13560
19	273	13402
20	284	13242
21	294	13091
22	300	12780
23	311	12657
24	321	12540
25	331	12437
26	342	12334
27	352	12247
28	363	12174
29	374	12094
30	384	12019
31	395	11950
32	405	11894
33	416	11825
34	426	11761
35	436	11698
36	447	11645
37	458	11601
38	468	11553
39	479	11496
40	489	11455
41	499	11399
42	510	11355
43	520	11313
44	531	11273
45	541	11238
46	552	11195
47	562	11147
48	572	11114
49	583	11081
50	593	11043
51	604	11012
52	614	10974
53	624	10944
54	635	10912
55	645	10880
56	655	10845
57	666	10820
58	677	10800
59	688	10789
60	699	10760
61	710	10742
62	720	10713
63	731	10695
64	741	10672
65	752	10645
66	763	10625
67	773	10601
68	783	10572
69	794	10550
70	804	10532
71	815	10505
72	825	10487
73	836	10468
74	847	10447
75	857	10429
76	868	10412
77	879	10394
78	889	10373
79	900	10360
80	911	10345
81	922	10326
82	932	10306
83	943	10289
84	954	10270
85	964	10248
86	975	10232
87	986	10218
88	996	10199
89	1006	10179
90	1017	10162
91	1027	10142
92	1037	10122
93	1048	10107
94	1059	10089
95	1069	10074
96	1080	10057
97	1091	10041
98	1102	10031
99	1113	10022
100	1124	10006
101	1134	9991
102	1145	9977
103	1156	9961
104	1166	9944
105	1177	9930
106	1187	9913
107	1198	9900
108	1209	9887
109	1220	9876
110	1231	9861
111	1242	9849
112	1252	9834
113	1263	9819
114	1274	9805
115	1284	9787
116	1294	9772
117	1305	9756
118	1316	9743
119	1326	9728
120	1337	9714
121	1347	9700
122	1358	9686
123	1368	9671
124	1379	9656
125	1390	9641
126	1400	9628
127	1411	9617
128	1422	9605
129	1433	9593
130	1444	9579
131	1454	9566
132	1465	9553
133	1475	9538
134	1486	9522
135	1496	9509
136	1507	9493
137	1517	9479
138	1527	9463
139	1538	9451
140	1548	9436
141	1559	9423
142	1570	9410
143	1580	9395
144	1591	9383
145	1601	9369
146	1612	9355
147	1622	9342
148	1633	9327
149	1643	9314
150	1654	9301
151	1664	9287
152	1675	9275
153	1685	9261
154	1696	9247
155	1707	9235
156	1717	9223
157	1728	9211
158	1739	9199
159	1750	9187
160	1760	9173
161	1770	9159
162	1781	9146
163	1791	9134
164	1802	9120
165	1812	9106
166	1823	9095
167	1833	9081
168	1844	9068
169	1855	9057
170	1865	9045
171	1876	9031
172	1886	9018
173	1896	9004
174	1907	8992
175	1918	8980
176	1928	8968
177	1939	8955
178	1950	8945
179	1961	8933
180	1971	8921
181	1982	8911
182	1993	8899
183	2004	8889
184	2014	8876
185	2026	8866
186	2036	8855
187	2047	8844
188	2059	8837
189	2070	8826
190	2085	8832
191	2097	8826
192	2108	8816
193	2119	8807
194	2131	8798
195	2142	8787
196	2153	8779
197	2165	8772
198	2176	8762
199	2187	8750
200	2198	8740
201	2209	8728
202	2220	8716
203	2230	8702
204	2240	8690
205	2251	8678
206	2262	8667
207	2273	8656
208	2284	8644
209	2294	8630
210	2304	8618
211	2315	8606
212	2325	8593
213	2336	8581
214	2347	8569
215	2357	8557
216	2368	8544
217	2378	8533
218	2389	8520
219	2400	8510
220	2410	8497
221	2421	8485
222	2432	8474
223	2442	8462
224	2453	8449
225	2463	8438
226	2474	8427
227	2485	8416
228	2495	8402
229	2506	8390
230	2516	8378
231	2526	8365
232	2537	8351
233	2547	8340
234	2558	8328
235	2568	8316
236	2579	8304
237	2590	8292
238	2600	8279
239	2611	8268
240	2621	8255
241	2632	8244
242	2642	8232
243	2652	8219
244	2663	8208
245	2674	8196
246	2684	8183
247	2695	8171
248	2705	8160
249	2715	8147
250	2726	8135
251	2737	8124
252	2747	8112
253	2758	8102
254	2768	8089
255	2779	8076
256	2789	8065
257	2799	8052
258	2810	8040
259	2820	8028
260	2831	8017
261	2842	8005
262	2852	7994
263	2863	7982
264	2873	7970
265	2884	7958
266	2894	7946
267	2904	7934
268	2915	7922
269	2925	7909
270	2936	7898
271	2946	7885
272	2956	7874
273	2967	7861
274	2977	7850
275	2988	7838
276	2998	7827
277	3009	7815
278	3019	7802
279	3029	7790
280	3040	7779
281	3050	7767
282	3061	7756
283	3072	7745
284	3082	7733
285	3093	7721
286	3103	7710
287	3113	7697
288	3124	7686
289	3134	7674
290	3145	7664
291	3156	7653
292	3167	7643
293	3178	7632
294	3188	7620
295	3199	7608
296	3209	7597
297	3220	7585
298	3231	7575
299	3241	7564
300	3252	7552
301	3262	7540
302	3273	7529
303	3283	7518
304	3293	7505
305	3304	7494
306	3315	7483
307	3325	7472
308	3336	7460
309	3346	7449
310	3356	7437
311	3367	7424
312	3377	7413
313	3388	7402
314	3398	7390
315	3408	7378
316	3419	7368
317	3430	7356
318	3440	7344
319	3451	7334
320	3461	7322
321	3472	7310
322	3483	7300
323	3493	7288
324	3503	7277
325	3514	7266
326	3525	7255
327	3535	7243
328	3546	7232
329	3556	7221
330	3567	7209
331	3577	7198
332	3587	7186
333	3598	7175
334	3609	7164
335	3619	7153
336	3629	7141
337	3640	7130
338	3651	7119
339	3662	7108
340	3672	7097
341	3683	7086
342	3693	7075
343	3704	7063
344	3715	7053
345	3725	7042
346	3736	7031
347	3747	7020
348	3758	7010
349	3768	6999
350	3779	6988
351	3790	6977
352	3800	6966
353	3810	6954
354	3821	6943
355	3832	6932
356	3842	6921
357	3853	6910
358	3863	6898
359	3874	6887
360	3885	6876
361	3895	6866
362	3906	6855
363	3917	6844
364	3927	6833
365	3938	6822
366	3948	6811
367	3959	6799
368	3969	6788
369	3980	6777
370	3991	6766
371	4001	6755
372	4012	6744
373	4022	6733
374	4033	6722
375	4043	6711
376	4053	6699
377	4064	6687
378	4074	6676
379	4085	6665
380	4095	6654
381	4106	6643
382	4116	6632
383	4127	6621
384	4138	6610
385	4148	6599
386	4159	6588
387	4169	6577
388	4180	6566
389	4191	6555
390	4202	6545
391	4212	6534
392	4223	6522
393	4233	6511
394	4244	6500
395	4254	6489
396	4265	6479
397	4276	6468
398	4287	6457
399	4297	6446
400	4308	6435
401	4318	6424
402	4329	6414
403	4339	6402
404	4350	6391
405	4361	6380
406	4372	6370
407	4382	6359
408	4393	6348
409	4404	6337
410	4414	6326
411	4425	6316
412	4436	6305
413	4447	6294
414	4457	6283
415	4468	6272
416	4479	6262
417	4490	6251
418	4500	6241
419	4511	6229
420	4521	6218
421	4532	6207
422	4542	6196
423	4553	6185
424	4564	6175
425	4575	6164
426	4586	6154
427	4596	6142
428	4607	6132
429	4617	6121
430	4628	6109
431	4638	6099
432	4649	6088
433	4660	6077
434	4670	6066
435	4681	6056
436	4692	6045
437	4702	6033
438	4713	6023
439	4723	6012
440	4734	6001
441	4744	5990
442	4755	5979
443	4765	5968
444	4776	5957
445	4787	5946
446	4798	5936
447	4808	5924
448	4818	5913
449	4829	5903
450	4839	5891
451	4850	5880
452	4860	5869
453	4871	5858
454	4881	5847
455	4892	5836
456	4902	5825
457	4913	5814
458	4924	5804
459	4935	5793
460	4945	5782
461	4956	5771
462	4967	5760
463	4977	5750
464	4988	5738
465	4998	5728
466	5009	5717
467	5019	5706
468	5030	5695
469	5040	5684
470	5051	5673
471	5061	5662
472	5072	5651
473	5083	5640
474	5093	5629
475	5103	5618
476	5114	5607
477	5125	5597
478	5135	5586
479	5146	5575
480	5157	5564
481	5167	5553
482	5178	5542
483	5188	5531
484	5199	5521
485	5210	5510
486	5221	5499
487	5231	5488
488	5241	5477
489	5251	5466
490	5262	5455
491	5273	5444
492	5284	5434
493	5294	5423
494	5305	5412
495	5316	5402
496	5326	5391
497	5337	5380
498	5347	5369
499	5358	5358
500	5368	5347
501	5379	5336
502	5390	5325
503	5400	5314
504	5410	5303
505	5421	5292
506	5431	5281
507	5442	5271
508	5453	5260
509	5463	5249
510	5474	5238
511	5484	5227
512	5494	5216
513	5505	5205
514	5515	5194
515	5526	5183
516	5536	5172
517	5547	5161
518	5558	5151
519	5569	5140
520	5579	5129
521	5590	5118
522	5600	5107
523	5611	5097
524	5621	5086
525	5632	5075
526	5642	5064
527	5653	5053
528	5664	5043
529	5674	5032
530	5685	5021
531	5696	5010
532	5706	4999
533	5716	4988
534	5727	4978
535	5737	4967
536	5748	4956
537	5758	4945
538	5769	4934
539	5779	4923
540	5790	4912
